"metric","model","dgp","mean_value","sd_y","value"
"ci_length","BART_ps-bart","dgp30",1.86287398901805,NA,NA
"ci_length","BART_ps-bart","dgp31",1.6113598002796,NA,NA
"ci_length","BART_ps-bart","dgp32",1.37357081835856,NA,NA
"ci_length","BART_ps-bart","dgp37",0.806268619836713,NA,NA
"ci_length","BART_ps-bart","dgp38",0.589442718355644,NA,NA
"ci_length","BART_ps-bart","dgp39",0.958052291247837,NA,NA
"ci_length","BART_ps-bart","dgp40",0.542644523068197,NA,NA
"ci_length","BART_ps-bart","dgp57",0.356562354878863,NA,NA
"ci_length","BART_ps-bart","dgp58",0.39744630461572,NA,NA
"ci_length","BART_ps-bart","dgp59",0.379135065953054,NA,NA
"ci_length","BART_ps-bart","dgp60",0.304825874606531,NA,NA
"ci_length","BART_ps-bart","dgp61",0.840235171436018,NA,NA
"ci_length","BART_ps-bart","dgp62",0.879712193886221,NA,NA
"ci_length","BART_ps-bart","dgp63",0.983476081042738,NA,NA
"ci_length","BART_ps-bart","dgp64",0.628227167423127,NA,NA
"ci_length","BART_ps-glm","dgp29",1.52455480377304,NA,NA
"ci_length","BART_ps-glm","dgp30",1.81221903835503,NA,NA
"ci_length","BART_ps-glm","dgp31",1.59850320046177,NA,NA
"ci_length","BART_ps-glm","dgp32",1.33742721732208,NA,NA
"ci_length","BART_ps-glm","dgp37",0.794837750635685,NA,NA
"ci_length","BART_ps-glm","dgp38",0.574392403672441,NA,NA
"ci_length","BART_ps-glm","dgp39",0.947609774235432,NA,NA
"ci_length","BART_ps-glm","dgp40",0.538004532599859,NA,NA
"ci_length","BART_ps-glm","dgp57",0.355076872262503,NA,NA
"ci_length","BART_ps-glm","dgp58",0.393960787064167,NA,NA
"ci_length","BART_ps-glm","dgp59",0.375114691559452,NA,NA
"ci_length","BART_ps-glm","dgp60",0.303846734142465,NA,NA
"ci_length","BART_ps-glm","dgp61",0.834158929683275,NA,NA
"ci_length","BART_ps-glm","dgp62",0.870420567370915,NA,NA
"ci_length","BART_ps-glm","dgp63",0.969840019973986,NA,NA
"ci_length","BART_ps-glm","dgp64",0.619616524137112,NA,NA
"ci_length","BART_s-learner","dgp29",1.51958503221147,NA,NA
"ci_length","BART_s-learner","dgp30",1.80853137331335,NA,NA
"ci_length","BART_s-learner","dgp31",1.52890960863748,NA,NA
"ci_length","BART_s-learner","dgp32",1.33437612249278,NA,NA
"ci_length","BART_s-learner","dgp37",0.794262002964288,NA,NA
"ci_length","BART_s-learner","dgp38",0.5629881376711,NA,NA
"ci_length","BART_s-learner","dgp39",0.912296366630242,NA,NA
"ci_length","BART_s-learner","dgp40",0.532619338588556,NA,NA
"ci_length","BART_s-learner","dgp57",0.353247271784392,NA,NA
"ci_length","BART_s-learner","dgp58",0.392287341688388,NA,NA
"ci_length","BART_s-learner","dgp59",0.366656381993298,NA,NA
"ci_length","BART_s-learner","dgp60",0.302440962235419,NA,NA
"ci_length","BART_s-learner","dgp61",0.825724017532108,NA,NA
"ci_length","BART_s-learner","dgp62",0.857736424146693,NA,NA
"ci_length","BART_s-learner","dgp63",0.918273591401232,NA,NA
"ci_length","BART_s-learner","dgp64",0.617370691113234,NA,NA
"ci_length","BART_t-learner","dgp29",1.56633970511884,NA,NA
"ci_length","BART_t-learner","dgp30",2.02600599200958,NA,NA
