"model","dgp","rmse","coverage","mean_ci_length"
"causal_forest","dgp32",0.332537777070831,0.97,1.3319660272976
"causal_forest","dgp37",0.597799269004248,0.92,1.97573104111976
"causal_forest","dgp38",0.154426940770429,0.89,0.526720511325507
"causal_forest","dgp39",0.910849564124159,0.93,3.16482653971574
"causal_forest","dgp40",0.483781503280149,0.98,1.80655094187938
"causal_forest","dgp57",0.0968693607974855,0.95,0.356047764727241
"causal_forest","dgp58",0.104157437883859,0.92,0.365916992336067
"causal_forest","dgp59",0.0984968453257106,0.92,0.350529615457412
"causal_forest","dgp60",0.0980795078762041,0.88,0.30403651396125
"causal_forest","dgp61",0.210887945838942,0.97,0.830572556291761
"causal_forest","dgp62",0.22810712093108,0.93,0.834422203382033
"causal_forest","dgp63",0.235492496938103,0.9,0.854944656617104
"causal_forest","dgp64",0.151772762515447,0.95,0.617864977918252
"weighting","dgp29",0.430123510009332,0.96,1.58079067940565
"weighting","dgp30",12.1330295296921,0,2.34086770600714
"weighting","dgp31",0.418224688131354,0.94,1.75379384138255
"weighting","dgp32",0.374189765525096,0.96,1.44887617485385
"weighting","dgp37",0.162262693596237,0.96,0.617470981333859
"weighting","dgp38",0.154289648594583,0.94,0.584867455908632
"weighting","dgp39",0.545275790089822,0.73,1.34839845058494
"weighting","dgp40",0.35923867616837,0.8,0.939830491573932
"weighting","dgp57",0.090760823947597,0.96,0.364158901022126
"weighting","dgp58",0.116373032417173,0.91,0.405924304394291
"weighting","dgp59",0.0899199314393239,0.97,0.386734282917922
"weighting","dgp60",0.0835743485140756,0.91,0.314375863032071
"weighting","dgp61",0.191056572405964,0.98,0.854828070301331
"weighting","dgp62",0.263338072745452,0.94,0.893061954870717
"weighting","dgp63",0.278374912158993,0.92,0.975638792435174
"weighting","dgp64",0.312810101459152,0.78,0.766067778807208
