"dgp","metric","model","iteration","k","n_trees","value"
"dgp30","ate_bias","bart_ps-glm",7,5,75,0.625802657563018
"dgp30","ci_length","bart_ps-glm",7,5,75,1.77438974462348
"dgp30","coverage","bart_ps-glm",7,5,75,1
"dgp30","ate_estimate","bart_ps-glm",7,1,100,10.4842624461232
"dgp30","ate_bias","bart_ps-glm",7,1,100,0.484262446123211
"dgp30","ci_length","bart_ps-glm",7,1,100,1.74442771656238
"dgp30","coverage","bart_ps-glm",7,1,100,1
"dgp30","ate_estimate","bart_ps-glm",7,2,100,10.5556650524442
"dgp30","ate_bias","bart_ps-glm",7,2,100,0.555665052444203
"dgp30","ci_length","bart_ps-glm",7,2,100,1.80547275723756
"dgp30","coverage","bart_ps-glm",7,2,100,1
"dgp30","ate_estimate","bart_ps-glm",7,3,100,10.5127564229389
"dgp30","ate_bias","bart_ps-glm",7,3,100,0.512756422938894
"dgp30","ci_length","bart_ps-glm",7,3,100,1.80974286299468
"dgp30","coverage","bart_ps-glm",7,3,100,1
"dgp30","ate_estimate","bart_ps-glm",7,5,100,10.6254294548692
"dgp30","ate_bias","bart_ps-glm",7,5,100,0.625429454869153
"dgp30","ci_length","bart_ps-glm",7,5,100,1.80081124873193
"dgp30","coverage","bart_ps-glm",7,5,100,1
"dgp30","ate_estimate","bart_ps-glm",7,1,200,10.47940410673
"dgp30","ate_bias","bart_ps-glm",7,1,200,0.479404106730044
"dgp30","ci_length","bart_ps-glm",7,1,200,1.79160627937448
"dgp30","coverage","bart_ps-glm",7,1,200,1
"dgp30","ate_estimate","bart_ps-glm",7,2,200,10.4899780287478
"dgp30","ate_bias","bart_ps-glm",7,2,200,0.489978028747798
"dgp30","ci_length","bart_ps-glm",7,2,200,1.81794755171816
"dgp30","coverage","bart_ps-glm",7,2,200,1
"dgp30","ate_estimate","bart_ps-glm",7,3,200,10.5216327216659
"dgp30","ate_bias","bart_ps-glm",7,3,200,0.521632721665876
"dgp30","ci_length","bart_ps-glm",7,3,200,1.83059253862197
