"","dgp","metric","model","iteration","k","n_trees","value"
"ci_length57","dgp60","ci_length","bart_s-learner",5,2,200,0.306945017703091
"is_covered57","dgp60","coverage","bart_s-learner",5,2,200,1
"ate_estimate58","dgp60","ate_estimate","bart_s-learner",5,3,200,1.50133817391284
"ate_bias58","dgp60","ate_bias","bart_s-learner",5,3,200,-0.184910137623361
"ci_length58","dgp60","ci_length","bart_s-learner",5,3,200,0.306080997989544
"is_covered58","dgp60","coverage","bart_s-learner",5,3,200,0
"ate_estimate59","dgp60","ate_estimate","bart_s-learner",5,5,200,1.43877060385148
"ate_bias59","dgp60","ate_bias","bart_s-learner",5,5,200,-0.247477707684719
"ci_length59","dgp60","ci_length","bart_s-learner",5,5,200,0.302198866421103
"is_covered59","dgp60","coverage","bart_s-learner",5,5,200,0
"ate_estimate60","dgp60","ate_estimate","bart_s-learner",6,1,75,1.61873387442162
"ate_bias60","dgp60","ate_bias","bart_s-learner",6,1,75,-0.0675144371145826
"ci_length60","dgp60","ci_length","bart_s-learner",6,1,75,0.290116530997921
"is_covered60","dgp60","coverage","bart_s-learner",6,1,75,1
"ate_estimate61","dgp60","ate_estimate","bart_s-learner",6,2,75,1.59541456529233
"ate_bias61","dgp60","ate_bias","bart_s-learner",6,2,75,-0.0908337462438726
"ci_length61","dgp60","ci_length","bart_s-learner",6,2,75,0.287760668298292
"is_covered61","dgp60","coverage","bart_s-learner",6,2,75,1
"ate_estimate62","dgp60","ate_estimate","bart_s-learner",6,3,75,1.57195877733245
"ate_bias62","dgp60","ate_bias","bart_s-learner",6,3,75,-0.114289534203751
"ci_length62","dgp60","ci_length","bart_s-learner",6,3,75,0.281508796510818
"is_covered62","dgp60","coverage","bart_s-learner",6,3,75,1
"ate_estimate63","dgp60","ate_estimate","bart_s-learner",6,5,75,1.52412661200745
"ate_bias63","dgp60","ate_bias","bart_s-learner",6,5,75,-0.162121699528748
"ci_length63","dgp60","ci_length","bart_s-learner",6,5,75,0.278715154129436
"is_covered63","dgp60","coverage","bart_s-learner",6,5,75,0
"ate_estimate64","dgp60","ate_estimate","bart_s-learner",6,1,100,1.61548864925275
"ate_bias64","dgp60","ate_bias","bart_s-learner",6,1,100,-0.0707596622834499
"ci_length64","dgp60","ci_length","bart_s-learner",6,1,100,0.282423834729395
"is_covered64","dgp60","coverage","bart_s-learner",6,1,100,1
"ate_estimate65","dgp60","ate_estimate","bart_s-learner",6,2,100,1.58826140552389
"ate_bias65","dgp60","ate_bias","bart_s-learner",6,2,100,-0.0979869060123129
"ci_length65","dgp60","ci_length","bart_s-learner",6,2,100,0.277569718225354
"is_covered65","dgp60","coverage","bart_s-learner",6,2,100,1
"ate_estimate66","dgp60","ate_estimate","bart_s-learner",6,3,100,1.56555692779215
"ate_bias66","dgp60","ate_bias","bart_s-learner",6,3,100,-0.120691383744054
"ci_length66","dgp60","ci_length","bart_s-learner",6,3,100,0.278943339821784
"is_covered66","dgp60","coverage","bart_s-learner",6,3,100,1
"ate_estimate67","dgp60","ate_estimate","bart_s-learner",6,5,100,1.51336393892086
"ate_bias67","dgp60","ate_bias","bart_s-learner",6,5,100,-0.172884372615339
"ci_length67","dgp60","ci_length","bart_s-learner",6,5,100,0.286625835420165
"is_covered67","dgp60","coverage","bart_s-learner",6,5,100,0
"ate_estimate68","dgp60","ate_estimate","bart_s-learner",6,1,200,1.61250173375397
"ate_bias68","dgp60","ate_bias","bart_s-learner",6,1,200,-0.0737465777822282
"ci_length68","dgp60","ci_length","bart_s-learner",6,1,200,0.28416334989534
"is_covered68","dgp60","coverage","bart_s-learner",6,1,200,1
"ate_estimate69","dgp60","ate_estimate","bart_s-learner",6,2,200,1.58374240188512
"ate_bias69","dgp60","ate_bias","bart_s-learner",6,2,200,-0.102505909651077
"ci_length69","dgp60","ci_length","bart_s-learner",6,2,200,0.287058339861455
"is_covered69","dgp60","coverage","bart_s-learner",6,2,200,1
"ate_estimate70","dgp60","ate_estimate","bart_s-learner",6,3,200,1.55456677366449
"ate_bias70","dgp60","ate_bias","bart_s-learner",6,3,200,-0.13168153787171
"ci_length70","dgp60","ci_length","bart_s-learner",6,3,200,0.277204462863091
"is_covered70","dgp60","coverage","bart_s-learner",6,3,200,1
"ate_estimate71","dgp60","ate_estimate","bart_s-learner",6,5,200,1.48822833395008
"ate_bias71","dgp60","ate_bias","bart_s-learner",6,5,200,-0.198019977586124
"ci_length71","dgp60","ci_length","bart_s-learner",6,5,200,0.284657940545714
"is_covered71","dgp60","coverage","bart_s-learner",6,5,200,0
"ate_estimate72","dgp60","ate_estimate","bart_s-learner",7,1,75,1.67664908527022
"ate_bias72","dgp60","ate_bias","bart_s-learner",7,1,75,-0.00959922626597631
"ci_length72","dgp60","ci_length","bart_s-learner",7,1,75,0.327434508070724
"is_covered72","dgp60","coverage","bart_s-learner",7,1,75,1
"ate_estimate73","dgp60","ate_estimate","bart_s-learner",7,2,75,1.64146674547195
"ate_bias73","dgp60","ate_bias","bart_s-learner",7,2,75,-0.0447815660642517
"ci_length73","dgp60","ci_length","bart_s-learner",7,2,75,0.302701618598097
"is_covered73","dgp60","coverage","bart_s-learner",7,2,75,1
"ate_estimate74","dgp60","ate_estimate","bart_s-learner",7,3,75,1.61664194347315
"ate_bias74","dgp60","ate_bias","bart_s-learner",7,3,75,-0.0696063680630457
"ci_length74","dgp60","ci_length","bart_s-learner",7,3,75,0.300948280681177
"is_covered74","dgp60","coverage","bart_s-learner",7,3,75,1
"ate_estimate75","dgp60","ate_estimate","bart_s-learner",7,5,75,1.55742821574534
"ate_bias75","dgp60","ate_bias","bart_s-learner",7,5,75,-0.128820095790865
"ci_length75","dgp60","ci_length","bart_s-learner",7,5,75,0.295902435379872
"is_covered75","dgp60","coverage","bart_s-learner",7,5,75,1
"ate_estimate76","dgp60","ate_estimate","bart_s-learner",7,1,100,1.67772102930254
"ate_bias76","dgp60","ate_bias","bart_s-learner",7,1,100,-0.0085272822336564
"ci_length76","dgp60","ci_length","bart_s-learner",7,1,100,0.314956166707325
"is_covered76","dgp60","coverage","bart_s-learner",7,1,100,1
"ate_estimate77","dgp60","ate_estimate","bart_s-learner",7,2,100,1.63549769343328
"ate_bias77","dgp60","ate_bias","bart_s-learner",7,2,100,-0.0507506181029247
"ci_length77","dgp60","ci_length","bart_s-learner",7,2,100,0.307256021800118
"is_covered77","dgp60","coverage","bart_s-learner",7,2,100,1
"ate_estimate78","dgp60","ate_estimate","bart_s-learner",7,3,100,1.60312915144311
"ate_bias78","dgp60","ate_bias","bart_s-learner",7,3,100,-0.083119160093085
"ci_length78","dgp60","ci_length","bart_s-learner",7,3,100,0.297808754259738
"is_covered78","dgp60","coverage","bart_s-learner",7,3,100,1
"ate_estimate79","dgp60","ate_estimate","bart_s-learner",7,5,100,1.54681912644311
"ate_bias79","dgp60","ate_bias","bart_s-learner",7,5,100,-0.139429185093088
"ci_length79","dgp60","ci_length","bart_s-learner",7,5,100,0.292241588931658
"is_covered79","dgp60","coverage","bart_s-learner",7,5,100,1
"ate_estimate80","dgp60","ate_estimate","bart_s-learner",7,1,200,1.66840204221446
"ate_bias80","dgp60","ate_bias","bart_s-learner",7,1,200,-0.01784626932174
"ci_length80","dgp60","ci_length","bart_s-learner",7,1,200,0.320310730347159
"is_covered80","dgp60","coverage","bart_s-learner",7,1,200,1
"ate_estimate81","dgp60","ate_estimate","bart_s-learner",7,2,200,1.62587075445433
"ate_bias81","dgp60","ate_bias","bart_s-learner",7,2,200,-0.060377557081873
"ci_length81","dgp60","ci_length","bart_s-learner",7,2,200,0.295215853870751
"is_covered81","dgp60","coverage","bart_s-learner",7,2,200,1
"ate_estimate82","dgp60","ate_estimate","bart_s-learner",7,3,200,1.58971089259559
"ate_bias82","dgp60","ate_bias","bart_s-learner",7,3,200,-0.0965374189406059
"ci_length82","dgp60","ci_length","bart_s-learner",7,3,200,0.297684498931451
"is_covered82","dgp60","coverage","bart_s-learner",7,3,200,1
"ate_estimate83","dgp60","ate_estimate","bart_s-learner",7,5,200,1.51785206207298
"ate_bias83","dgp60","ate_bias","bart_s-learner",7,5,200,-0.168396249463221
"ci_length83","dgp60","ci_length","bart_s-learner",7,5,200,0.292388455094964
"is_covered83","dgp60","coverage","bart_s-learner",7,5,200,0
"ate_estimate84","dgp60","ate_estimate","bart_s-learner",8,1,75,1.58362841760021
"ate_bias84","dgp60","ate_bias","bart_s-learner",8,1,75,-0.102619893935993
"ci_length84","dgp60","ci_length","bart_s-learner",8,1,75,0.311367821897762
"is_covered84","dgp60","coverage","bart_s-learner",8,1,75,1
"ate_estimate85","dgp60","ate_estimate","bart_s-learner",8,2,75,1.56648026858979
"ate_bias85","dgp60","ate_bias","bart_s-learner",8,2,75,-0.119768042946411
"ci_length85","dgp60","ci_length","bart_s-learner",8,2,75,0.308317460318703
"is_covered85","dgp60","coverage","bart_s-learner",8,2,75,1
"ate_estimate86","dgp60","ate_estimate","bart_s-learner",8,3,75,1.55285102587492
"ate_bias86","dgp60","ate_bias","bart_s-learner",8,3,75,-0.133397285661285
"ci_length86","dgp60","ci_length","bart_s-learner",8,3,75,0.307137099086941
"is_covered86","dgp60","coverage","bart_s-learner",8,3,75,1
"ate_estimate87","dgp60","ate_estimate","bart_s-learner",8,5,75,1.51189140426313
"ate_bias87","dgp60","ate_bias","bart_s-learner",8,5,75,-0.174356907273066
"ci_length87","dgp60","ci_length","bart_s-learner",8,5,75,0.30853944161332
"is_covered87","dgp60","coverage","bart_s-learner",8,5,75,0
"ate_estimate88","dgp60","ate_estimate","bart_s-learner",8,1,100,1.58054261044799
"ate_bias88","dgp60","ate_bias","bart_s-learner",8,1,100,-0.105705701088211
"ci_length88","dgp60","ci_length","bart_s-learner",8,1,100,0.30706342026875
