"dgp","metric","model","iteration","ps_model","regression_model","value"
"dgp31","ate_bias","bart_ps-bart",11,"bart","linear_basic",0.85966996156213
"dgp31","ci_length","bart_ps-bart",11,"bart","linear_basic",1.93186583024122
"dgp31","coverage","bart_ps-bart",11,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",12,"bart","linear_basic",1.97150366497838
"dgp31","ate_bias","bart_ps-bart",12,"bart","linear_basic",0.028496335021623
"dgp31","ci_length","bart_ps-bart",12,"bart","linear_basic",2.17228044684632
"dgp31","coverage","bart_ps-bart",12,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",13,"bart","linear_basic",2.32373253356825
"dgp31","ate_bias","bart_ps-bart",13,"bart","linear_basic",-0.323732533568252
"dgp31","ci_length","bart_ps-bart",13,"bart","linear_basic",1.90407705419255
"dgp31","coverage","bart_ps-bart",13,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",14,"bart","linear_basic",2.23456843751531
"dgp31","ate_bias","bart_ps-bart",14,"bart","linear_basic",-0.234568437515306
"dgp31","ci_length","bart_ps-bart",14,"bart","linear_basic",2.03661431985997
"dgp31","coverage","bart_ps-bart",14,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",15,"bart","linear_basic",1.46587910475506
"dgp31","ate_bias","bart_ps-bart",15,"bart","linear_basic",0.534120895244941
"dgp31","ci_length","bart_ps-bart",15,"bart","linear_basic",1.9749395236585
"dgp31","coverage","bart_ps-bart",15,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",16,"bart","linear_basic",2.16273943818579
"dgp31","ate_bias","bart_ps-bart",16,"bart","linear_basic",-0.162739438185791
"dgp31","ci_length","bart_ps-bart",16,"bart","linear_basic",1.90086851541911
"dgp31","coverage","bart_ps-bart",16,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",17,"bart","linear_basic",2.77852694066155
"dgp31","ate_bias","bart_ps-bart",17,"bart","linear_basic",-0.77852694066155
"dgp31","ci_length","bart_ps-bart",17,"bart","linear_basic",1.81833876975725
"dgp31","coverage","bart_ps-bart",17,"bart","linear_basic",1
"dgp31","ate_estimate","bart_ps-bart",18,"bart","linear_basic",1.78699358063667
"dgp31","ate_bias","bart_ps-bart",18,"bart","linear_basic",0.213006419363329
"dgp31","ci_length","bart_ps-bart",18,"bart","linear_basic",1.83439178375499
