"model","dgp","bias_abs","bias_rel","bias_std","rmse","rmse_rel","rmse_std","coverage","ci_length","ci_length_rel","ci_length_std"
"BART_s-learner","dgp29",0.36187154613759,0.0904678865343976,0.018133037530019,0.436651247519949,0.109162811879987,0.0218801769393561,0.9,1.51958503221147,0.379896258052866,0.076144954510098
"BART_s-learner","dgp30",0.468672753608118,0.0468672753608118,0.019059640096153,0.5813386518347,0.05813386518347,0.0236414542826546,0.84,1.80853137331335,0.180853137331335,0.0735480285819559
"BART_s-learner","dgp31",0.317131697936734,0.158565848968367,0.0174810654377798,0.386846773964629,0.193423386982314,0.0213239288726628,0.95,1.52890960863748,0.764454804318742,0.0842771917500789
"BART_s-learner","dgp32",0.263798783584222,0.104375953470371,0.0207434723046423,0.313108144022012,0.123885943019148,0.0246208493672032,0.99,1.33437612249278,0.527965967776396,0.104926921060149
"BART_s-learner","dgp37",0.171634036662958,0.0429085091657396,0.0325275664208688,0.207593480727019,0.0518983701817548,0.0393424921080631,0.96,0.794262002964288,0.198565500741072,0.150526145974919
"BART_s-learner","dgp38",0.112167398167523,0.0448669592670092,0.0783645830363034,0.13933748023614,0.055734992094456,0.0973466775410666,0.97,0.5629881376711,0.22519525506844,0.393325791484346
"BART_s-learner","dgp39",0.264084921046494,0.0421168187426072,0.0189580451173299,0.329594275817732,0.0525643884482612,0.0236608100402148,0.83,0.912296366630242,0.145494943674351,0.0654916441666401
"BART_s-learner","dgp40",0.114601514561201,0.0164610403621097,0.0207463606171608,0.141974288287267,0.020392788863453,0.0257016654138495,0.94,0.532619338588556,0.0765039490421764,0.0964203039753962
"BART_s-learner","dgp57",0.0671442547907464,0.134288509581493,0.0541040364537648,0.0837534822528322,0.167506964505664,0.0674875530461838,0.95,0.353247271784392,0.706494543568784,0.284642421445858
"BART_s-learner","dgp58",0.0872599027226724,0.0872599027226724,0.0628476870128437,0.106694578347687,0.106694578347687,0.0768452319649505,0.93,0.392287341688388,0.392287341688388,0.28253930270686
"BART_s-learner","dgp59",0.0688364212408247,0.0860455265510309,0.0564417474743967,0.0873352354723011,0.109169044340376,0.0716096685052702,0.94,0.366656381993298,0.458320477491623,0.300636299059491
"BART_s-learner","dgp60",0.073276008273186,0.0434550521248145,0.0608931284160263,0.091707676461376,0.0543856298233021,0.0762100372427281,0.89,0.302440962235419,0.179357310644178,0.25133159932795
"BART_s-learner","dgp61",0.139771756484581,0.0698858782422904,0.0444434378546516,0.174558481707669,0.0872792408538346,0.0555046257477131,0.98,0.825724017532108,0.412862008766054,0.262556720908991
"BART_s-learner","dgp62",0.16859926000134,0.0842996300006702,0.0656182050483897,0.209745525040396,0.104872762520198,0.0816321783973039,0.96,0.857736424146693,0.428868212073347,0.333827826745401
